> Executing task in folder sensors values: C:\Users\Ahmad Asmandar\.platformio\penv\Scripts\platformio.exe device monitor <


--- Miniterm on COM5  57600,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
time delta_photo     0
time delta_hall     0 
time delta_photo     491
time delta_hall     25  
time delta_photo     38
time delta_hall     216
time delta_photo     35
time delta_hall     218
time delta_photo     36
time delta_hall     219
time delta_photo     39
time delta_hall     224
time delta_photo     40
time delta_hall     227
time delta_photo     37
time delta_hall     227
time delta_photo     40
time delta_hall     230
time delta_photo     37
time delta_hall     232
time delta_photo     40
time delta_hall     233
time delta_photo     38
time delta_hall     235
time delta_photo     41
time delta_hall     237
time delta_photo     41
time delta_hall     238
time delta_photo     39
time delta_hall     240
time delta_photo     40
time delta_hall     242
time delta_photo     39
time delta_hall     243
time delta_photo     40
time delta_hall     246
time delta_photo     40
time delta_hall     248
time delta_photo     40
time delta_hall     251
time delta_photo     41
time delta_hall     252
time delta_photo     42
time delta_hall     255
time delta_photo     42
time delta_hall     258
time delta_photo     45
time delta_hall     260
time delta_photo     42
time delta_hall     262
time delta_photo     42
time delta_hall     264
time delta_photo     45
time delta_hall     268
time delta_photo     44
time delta_hall     270
time delta_photo     47
time delta_hall     273
time delta_photo     44
time delta_hall     276
time delta_photo     48
time delta_hall     279
time delta_photo     44
time delta_hall     282
time delta_photo     46
time delta_hall     279
time delta_photo     49
time delta_hall     282
time delta_photo     50
time delta_hall     286
time delta_photo     46
time delta_hall     288
time delta_photo     47
time delta_hall     292
time delta_photo     47
time delta_hall     296
time delta_photo     47
time delta_hall     299
time delta_photo     48
time delta_hall     298
time delta_photo     49
time delta_hall     302
time delta_photo     49
time delta_hall     305
time delta_photo     50
time delta_hall     310
time delta_photo     50
time delta_hall     313
time delta_photo     55
time delta_hall     313
time delta_photo     51
time delta_hall     315
time delta_photo     52
time delta_hall     320
time delta_photo     56
time delta_hall     325
time delta_photo     53
time delta_hall     328
time delta_photo     57
time delta_hall     329
time delta_photo     53
time delta_hall     333
time delta_photo     59
time delta_hall     336
time delta_photo     55
time delta_hall     342
time delta_photo     61
time delta_hall     342
time delta_photo     55
time delta_hall     346
time delta_photo     57
time delta_hall     351
time delta_photo     62
time delta_hall     351
time delta_photo     62
time delta_hall     357
time delta_photo     62
time delta_hall     361
time delta_photo     63
time delta_hall     367
time delta_photo     59
time delta_hall     367
time delta_photo     60
time delta_hall     373
time delta_photo     61
time delta_hall     379
time delta_photo     62
time delta_hall     378
time delta_photo     66
time delta_hall     385
time delta_photo     67
time delta_hall     385
time delta_photo     68
time delta_hall     392
time delta_photo     63
time delta_hall     398
time delta_photo     65
time delta_hall     397
time delta_photo     69
time delta_hall     406
time delta_photo     65
