> Executing task in folder sensors values: C:\Users\Ahmad Asmandar\.platformio\penv\Scripts\platformio.exe device monitor <


--- Miniterm on COM5  57600,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0
the init value from photo_sens   0
the init value from hall_sens     0

--- exit ---
