> Executing task in folder sensors values: C:\Users\Ahmad Asmandar\.platformio\penv\Scripts\platformio.exe device monitor <


--- Miniterm on COM5  57600,8,N,1 ---
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
time delta_photo     0
time delta_hall     0
time delta_photo     25
time delta_hall     142
time delta_photo     23
time delta_hall     142
time delta_photo     24
time delta_hall     145
time delta_photo     26
time delta_hall     146
time delta_photo     24
time delta_hall     146
time delta_photo     23
time delta_hall     146
time delta_photo     24
time delta_hall     150
time delta_photo     25
time delta_hall     149
time delta_photo     24
time delta_hall     150
time delta_photo     24
time delta_hall     153
time delta_photo     24
time delta_hall     152
time delta_photo     27
time delta_hall     153
time delta_photo     28
time delta_hall     155
time delta_photo     26
time delta_hall     155
time delta_photo     26
time delta_hall     159
time delta_photo     26
time delta_hall     157
time delta_photo     28
time delta_hall     161
time delta_photo     29
time delta_hall     163
time delta_photo     27
time delta_hall     161
time delta_photo     26
time delta_hall     163
time delta_photo     28
time delta_hall     164
time delta_photo     28
time delta_hall     167
time delta_photo     29
time delta_hall     166
time delta_photo     30
time delta_hall     169
time delta_photo     29
time delta_hall     167
time delta_photo     27
time delta_hall     171
time delta_photo     28
time delta_hall     170
time delta_photo     29
time delta_hall     174
time delta_photo     31
time delta_hall     174
time delta_photo     29
time delta_hall     174
time delta_photo     31
time delta_hall     178
time delta_photo     29
time delta_hall     176
time delta_photo     31
time delta_hall     180
time delta_photo     28
time delta_hall     179
time delta_photo     30
time delta_hall     181
time delta_photo     32
time delta_hall     184
time delta_photo     31
time delta_hall     183
time delta_photo     33
time delta_hall     184
time delta_photo     33
time delta_hall     187
time delta_photo     32
time delta_hall     187
time delta_photo     33
time delta_hall     188
time delta_photo     33
time delta_hall     193
time delta_photo     31
time delta_hall     191
time delta_photo     30
time delta_hall     192
time delta_photo     34
time delta_hall     197
time delta_photo     34
time delta_hall     198
time delta_photo     32
time delta_hall     197
time delta_photo     34
time delta_hall     198
time delta_photo     32
time delta_hall     201
time delta_photo     35
time delta_hall     204
time delta_photo     36
time delta_hall     203
time delta_photo     33
time delta_hall     205
time delta_photo     32
time delta_hall     208
time delta_photo     36
time delta_hall     210
time delta_photo     36
time delta_hall     211
time delta_photo     37
time delta_hall     211
time delta_photo     34
time delta_hall     212
time delta_photo     37
time delta_hall     216
time delta_photo     38
time delta_hall     217
time delta_photo     38
time delta_hall     219
time delta_photo     38
time delta_hall     220
time delta_photo     36
time delta_hall     221
time delta_photo     35
time delta_hall     222
time delta_photo     39
time delta_hall     224
time delta_photo     36
time delta_hall     225
time delta_photo     37
time delta_hall     230
time delta_photo     40
time delta_hall     231
time delta_photo     38
time delta_hall     233
time delta_photo     38
time delta_hall     234
time delta_photo     41
